"","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3","noSelect","Actual","logits","soft1"
"114","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Au=0",0.0290281767599624,"Au","Au=0",1,TRUE,0.0215046022569497,0.248465735701065
"115","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","B",0.0216606861563693,"B","B=0",1,TRUE,0.0160466309771066,0.247113310956621
"116","0","00","0","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,1,"conjunctive",0.25,1,"1","c1","Bu=0",0.0289794077486227,"Bu","Bu=0",1,TRUE,0.0214684732847447,0.248456759051565
"117","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","A",0.177780895310137,"A","A=0",1,TRUE,0.131703326534859,0.269709706141175
"118","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Au=0",0.0742408080467579,"Au","Au=0",1,TRUE,0.0549989433191722,0.24979531310886
"119","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","B",0.055510872908194,"B","B=0",1,TRUE,0.0411234660963372,0.246353219502188
"120","0","01","0","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,2,"conjunctive",0.25,1,"1","c1","Bu=1",-0.0131154203929372,"Bu","Bu=1",1,FALSE,-0.00971614239898842,0.234141761247777
"121","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","A",0.172473294108098,"A","A=0",1,TRUE,0.127771358856276,0.269104468087371
"122","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Au=1",-0.0127193187268204,"Au","Au=1",1,FALSE,-0.00942270306748676,0.234605551468751
"123","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","B",0.0538164825505848,"B","B=0",1,TRUE,0.039868230846473,0.246459217464381
"124","0","10","1","0","0","0","0",0.9,0.5,0.2,0.5,0.045,0.25,3,"conjunctive",0.25,1,"1","c1","Bu=0",0.0721572937848205,"Bu","Bu=0",1,TRUE,0.0534554379908787,0.249830762979497
"125","0","11","1","0","1","0","0",0.9,0.5,0.2,0.5,0.045,0.25,4,"conjunctive",0.25,1,"1","c1","A",0.409615640016647,"A","A=0",1,TRUE,0.303450729600536,0.307167460002713
